province,city,terminal_name
강원특별자치도,춘천시,원평리
강원특별자치도,춘천시,전력IT단지
강원특별자치도,춘천시,지촌정류소
강원특별자치도,춘천시,춘천시외버스터미널
강원특별자치도,춘천시,춘천역
강원특별자치도,춘천시,한샘고등학교
강원특별자치도,춘천시,현대아파트(춘천)
강원특별자치도,춘천시,현지사
강원특별자치도,태백시,태백버스터미널
강원특별자치도,평창군,미탄정류소
강원특별자치도,평창군,방림
강원특별자치도,평창군,방림삼거리정류소
강원특별자치도,평창군,운교정류소
강원특별자치도,평창군,장평시외버스터미널
강원특별자치도,평창군,진부시외버스터미널
강원특별자치도,평창군,평창버스터미널
강원특별자치도,평창군,평창휴게소
강원특별자치도,평창군,횡계시외버스터미널
강원특별자치도,홍천군,내면정류소
강원특별자치도,홍천군,양덕원정류소
강원특별자치도,홍천군,홍천종합버스터미널
강원특별자치도,화천군,간척
강원특별자치도,화천군,간척사거리
강원특별자치도,화천군,다목리버스터미널
강원특별자치도,화천군,달거리
강원특별자치도,화천군,사창리버스터미널
강원특별자치도,화천군,서오지리
강원특별자치도,화천군,용호리(유촌리)
강원특별자치도,화천군,원천정류소
강원특별자치도,화천군,화천공영버스터미널
강원특별자치도,횡성군,새말시외버스정류장
강원특별자치도,횡성군,안흥정류소(횡성군)
강원특별자치도,횡성군,횡성시외버스터미널
충청북도,괴산군,괴산시외버스터미널
충청북도,단양군,구인사정류소
충청북도,단양군,단양상진터미널
충청북도,단양군,단양시외버스공영터미널
충청북도,단양군,매포정류소
충청북도,단양군,사평리
충청북도,단양군,영춘공동정류소
충청북도,보은군,보은시외버스공용정류장
충청북도,보은군,속리산터미널
충청북도,영동군,(구)영동
충청북도,영동군,영동(시장)
충청북도,영동군,영동시외버스정류장
충청북도,옥천군,옥천시외버스공영정류소
충청북도,음성군,감곡공용정류장
충청북도,음성군,금왕임시정류소
충청북도,음성군,대소버스정류장
충청북도,음성군,삼성버스터미널
충청북도,음성군,음성공용버스터미널
충청북도,음성군,충북혁신도시공용터미널
충청북도,제천시,제천버스터미널
충청북도,증평군,증평시외버스터미널
충청북도,진천군,광혜원터미널
충청북도,진천군,덕산진천정류소
충청북도,진천군,진천종합터미널
충청북도,청주시 상당구,미원정류소 상행
충청북도,청주시 서원구,남부정류장
충청북도,청주시 서원구,사창정류장
충청북도,청주시 청원구,율량정류소
충청북도,청주시 청원구,청주공항정류소
충청북도,청주시 청원구,청주대정류소
충청북도,청주시 청원구,청주북부터미널(오창)
충청북도,청주시 흥덕구,오송역
충청북도,청주시 흥덕구,오송역(오스코)
충청북도,청주시 흥덕구,청주시외버스터미널
충청북도,충주시,건국터미널
충청북도,충주시,교통대시외버스정류소
충청북도,충주시,목계정류소
충청북도,충주시,목행
충청북도,충주시,본리정류소
충청북도,충주시,수안보시외버스정류소
충청북도,충주시,엄정정류소
충청북도,충주시,주덕버스터미널
충청북도,충주시,충주공용버스터미널
충청남도,계룡시,계룡(금암)정류소
충청남도,계룡시,신도안정류소
충청남도,계룡시,엄사정류소
충청남도,공주시,공주종합버스터미널
충청남도,공주시,광정정류소
충청남도,공주시,동학사삼거리정류소
충청남도,공주시,삼흥고속
충청남도,공주시,유구터미널
충청남도,금산군,금산터미널
충청남도,금산군,인삼랜드휴게소(통영방향)고속버스환승정류소
